Acaryochloris_marina_MBIC11017_uid58167/NC_009925.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009926.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009927.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009928.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009929.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009930.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009931.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009932.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009933.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acaryochloris_marina_MBIC11017_uid58167/NC_009934.gbk-            Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales;
Acetobacterium_woodii_DSM_1030_uid88073/NC_016894.gbk-            Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017104.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017105.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017106.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017107.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017150.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017151.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_42C_uid158377/NC_017152.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013209.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013210.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013211.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013212.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013213.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013214.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_01_uid59279/NC_013215.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017100.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017101.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017109.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017118.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017119.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017120.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_03_uid158373/NC_017142.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017110.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017121.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017122.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017123.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017124.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017143.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_07_uid158381/NC_017144.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017108.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017113.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017114.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017115.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
Acetobacter_pasteurianus_IFO_3283_12_uid158379/NC_017116.gbk-            Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales;
